,team,projected_position,avgheight,avgweight,avgbroad,avgarm,avgfourty,avgten,avgthree,avgshuttle,avgvert
291,PHI,C,76.6,315.5,119.00,32.9,4.92,1.71,7.19,4.49,33.50
292,PHI,CB,72.6,198.1,123.06,31.8,4.48,1.57,6.88,4.14,35.96
293,PHI,DI,75.9,312.7,112.68,33.7,4.80,1.65,7.14,4.50,29.77
294,PHI,ED,74.9,253.0,119.51,32.8,4.71,1.65,7.12,4.44,34.77
295,PHI,G,75.5,307.6,96.44,33.8,5.30,1.83,7.54,4.59,26.00
296,PHI,HB,70.6,211.0,124.00,30.6,4.49,1.57,6.89,4.19,36.00
297,PHI,LB,71.9,233.8,126.09,31.9,4.53,1.55,6.78,4.20,37.91
298,PHI,QB,76.3,234.7,118.60,33.1,4.79,1.67,6.91,4.25,31.48
299,PHI,S,71.0,204.1,120.97,31.9,4.55,1.55,6.95,4.14,34.92
300,PHI,T,77.7,310.0,116.38,34.3,4.81,1.68,7.36,4.50,31.64
301,PHI,TE,76.8,252.2,115.57,32.7,4.76,1.68,7.05,4.40,32.56
302,PHI,WR,72.4,198.6,125.35,32.3,4.46,1.59,7.06,4.33,37.21
303,PIT,CB,71.9,189.6,126.18,32.3,4.48,1.56,6.84,4.19,35.16
304,PIT,DI,76.1,299.9,108.96,33.8,4.99,1.74,7.46,4.62,30.21
305,PIT,ED,75.4,254.3,125.08,32.7,4.67,1.63,7.29,4.44,35.88
306,PIT,G,75.8,312.4,104.89,32.3,5.17,1.79,7.46,4.60,31.47
307,PIT,HB,72.5,220.7,117.82,32.1,4.52,1.56,6.88,4.23,32.68
308,PIT,LB,71.9,234.7,125.54,32.1,4.45,1.56,7.01,4.23,39.95
309,PIT,QB,75.7,223.0,121.00,31.4,4.79,1.56,NA,NA,30.98
310,PIT,S,72.7,210.5,130.73,32.2,4.47,1.57,6.64,3.97,39.86
311,PIT,T,77.9,319.1,103.18,34.3,5.18,1.82,7.91,4.93,28.74
312,PIT,TE,77.6,256.3,122.00,33.3,4.64,1.57,NA,4.08,31.00
313,PIT,WR,73.1,209.8,122.65,32.6,4.49,1.56,7.03,4.22,35.39
314,SEA,C,77.9,325.0,111.00,33.5,5.07,1.75,7.59,4.79,29.50
315,SEA,CB,71.8,186.8,127.75,31.3,4.43,1.56,6.85,4.35,36.38
316,SEA,DI,75.5,296.5,109.03,34.1,5.03,1.76,7.71,4.65,28.32
317,SEA,ED,75.3,260.6,120.55,33.6,4.58,1.62,6.92,4.12,34.60
318,SEA,G,76.2,318.5,103.77,33.4,5.26,1.83,7.85,4.69,27.68
319,SEA,HB,70.8,216.8,121.86,31.4,4.47,1.55,7.00,4.30,35.97
320,SEA,LB,73.8,247.3,125.86,33.1,4.54,1.58,7.11,4.29,36.14
321,SEA,QB,70.6,204.0,118.00,31.0,4.53,1.59,6.97,4.09,34.00
322,SEA,T,77.4,313.9,110.07,34.8,5.04,1.75,7.70,4.61,28.25
323,SEA,TE,77.8,257.0,111.00,34.3,4.89,1.72,7.05,4.20,30.50
324,SEA,WR,71.9,195.8,125.33,31.7,4.42,1.56,6.92,4.17,36.54
325,SF,C,74.8,320.0,NA,34.0,5.22,1.81,NA,4.93,NA
326,SF,CB,72.1,193.4,125.86,31.7,4.41,1.54,6.91,4.17,38.68
327,SF,DI,77.7,299.0,116.00,34.6,5.00,1.77,7.51,4.47,32.00
328,SF,ED,76.0,269.0,119.69,33.6,4.78,1.66,7.15,4.32,34.12
329,SF,G,76.8,317.7,99.44,33.2,5.32,1.87,7.65,4.75,29.87
330,SF,HB,71.0,212.7,119.54,31.5,4.52,1.58,6.97,4.25,34.25
331,SF,LB,73.3,240.4,120.35,32.0,4.73,1.60,7.06,4.28,35.46
332,SF,QB,75.9,225.8,114.34,31.9,4.53,1.63,6.88,4.20,32.00
333,SF,S,72.8,213.4,127.71,32.7,4.56,1.58,7.03,4.24,36.46
334,SF,T,79.9,309.0,105.00,34.0,NA,NA,NA,NA,28.50
