"","team","GM","projected_position","avgheight","avgweight","avgbroad","avgarm","avgfourty","avgten","avgthree","avgshuttle","avgvert","minheight","maxheight","minweight","maxweight","minbroad","maxbroad","minarm","maxarm","minfourty","maxfourty","minten","maxten","minthree","maxthree","minshuttle","maxshuttle","minvert","maxvert","players"
"67","CLE","Andrew Berry","DI",75.3,300.1,119.57,33.11,5.02,1.76,7.5,4.7,31.44,73.5,76,268,335,117,122,31.8,35.2,4.76,5.39,1.71,1.88,7.2,7.8,4.46,4.99,27.5,36.5,5
"68","CLE","Andrew Berry","ED",77.1,270.1,117,33.87,4.7,1.61,NA,NA,31.5,76.9,77.1,266,271,117,117,33.2,34,4.7,4.7,1.61,1.61,Inf,-Inf,Inf,-Inf,31.5,31.5,2
"69","CLE","Andrew Berry","HB",69.8,202.7,116.61,30.93,4.49,1.57,7.31,4.31,31.17,68.6,70.5,189,210,114,118,30.6,31.5,4.46,4.55,1.56,1.58,7.31,7.31,4.22,4.47,31,31.5,2
"70","CLE","Andrew Berry","LB",73.7,223.7,122.75,32.47,4.65,1.6,7.04,4.27,36.82,72.1,75,221,229,114,126,31.2,33,4.64,4.66,1.55,1.63,6.8,7.38,4.15,4.48,34,39,3
"71","CLE","Andrew Berry","QB",74,203,121,30.62,4.56,1.51,7.28,4.44,32.5,74,74,203,203,121,121,30.6,30.6,4.56,4.56,1.51,1.51,7.28,7.28,4.44,4.44,32.5,32.5,1
"72","CLE","Andrew Berry","S",73.5,209.1,128,30.66,4.83,1.69,7.44,4.49,32.5,70,74.5,196,213,128,128,30.4,31.6,4.83,4.83,1.69,1.69,7.44,7.44,4.49,4.49,32.5,32.5,2
"73","CLE","Andrew Berry","T",77,323.6,109.59,34.34,5.15,1.84,8.05,4.83,33.14,76.2,80,312,374,98,113,32.6,36.4,5.05,5.35,1.81,1.92,8.05,8.05,4.79,4.84,28.5,34.5,3
"74","CLE","Andrew Berry","TE",76.8,243,110,30.62,4.73,1.63,7.41,4.37,32.5,76.8,76.8,243,243,110,110,30.6,30.6,4.73,4.73,1.63,1.63,7.41,7.41,4.37,4.37,32.5,32.5,1
"75","CLE","Andrew Berry","WR",73.4,204.8,125.13,32.31,4.5,1.54,7.19,4.41,35.27,72,75,186,213,118,139,31.5,33.5,4.26,4.68,1.51,1.59,7.05,7.32,4.25,4.57,32,44.5,5
"76","DAL","Jerry Jones","C",75.6,312.5,97,32.82,5.58,1.91,7.81,4.76,28.5,75.6,75.6,312,314,97,97,32.2,33,5.58,5.58,1.91,1.91,7.81,7.81,4.76,4.76,28.5,28.5,2
"77","DAL","Jerry Jones","CB",72.1,195.3,127.83,32.08,4.47,1.55,6.97,4.14,36.73,70.2,76.1,183,212,115,147,30.1,34,4.28,4.71,1.44,1.64,6.57,7.28,3.84,4.57,31,44.5,17
