"","team","projected_position","avgheight","avgweight","avgbroad","avgarm","avgfourty","avgten","avgthree","avgshuttle","avgvert","minheight","maxheight","minweight","maxweight","minbroad","maxbroad","minarm","maxarm","minfourty","maxfourty","minten","maxten","minthree","maxthree","minshuttle","maxshuttle","minvert","maxvert","players"
"58","CAR","TE",75.5,249.5,122.46,32.3,4.66,1.59,7.15,4.2,36.27,75.2,76.5,241,259,122,123,31.9,34.2,4.6,4.74,1.56,1.63,7.15,7.15,4.2,4.2,36,36.5,3
"59","CAR","WR",73.4,212.8,124.26,32.46,4.48,1.58,7.06,4.27,37.55,69.4,77,179,240,117,132,30,34.9,4.31,4.7,1.5,1.66,6.83,7.33,4.07,4.48,32.5,40.5,10
"60","CHI","C",75.3,299.1,109.82,32.26,5.02,1.71,7.59,4.65,26.22,74,75.8,297,301,109,110,32.1,32.4,4.95,5.03,1.69,1.73,7.32,7.85,4.58,4.74,25.5,29.5,3
"61","CHI","CB",71.7,193.5,125.98,32.26,4.5,1.57,6.95,4.18,37.93,68.6,74.5,173,220,114,133,31,34.4,4.41,4.68,1.48,1.71,6.62,7.4,3.96,4.41,34,43.5,11
"62","CHI","DI",75.1,308,108.29,32.87,5.05,1.77,7.64,4.75,29.56,72,78,285,336,99,116,31,34.4,4.88,5.36,1.65,1.89,7.31,7.99,4.49,5.03,26,32.5,10
"63","CHI","ED",76.5,253.4,122.8,33.11,4.62,1.59,7.14,4.33,36.28,75.4,77.6,244,265,117,128,32.8,34,4.55,4.72,1.59,1.61,6.88,7.47,4.19,4.74,31.5,41,6
"64","CHI","G",76.6,309.8,106.89,33.63,5.01,1.77,7.68,4.57,28.85,74.8,78.1,306,313,102,109,32.6,34.6,4.91,5.36,1.74,1.86,7.29,8.13,4.4,4.9,27,30.5,5
"65","CHI","HB",70.2,210.1,119.44,31.24,4.54,1.58,7.13,4.33,32.15,66.5,72,179,230,115,132,29.8,32.2,4.37,4.7,1.52,1.66,6.96,7.22,4.23,4.53,28.5,42,9
"66","CHI","LB",73,239.2,117.12,32.26,4.59,1.6,7.18,4.26,32.79,72.8,74,229,246,114,120,31.6,33,4.51,4.73,1.57,1.66,6.99,7.58,4.2,4.37,30,35,7
"67","CHI","QB",74.4,224.4,113.74,32.11,4.64,1.64,6.95,4.29,27.34,73.6,76,212,240,103,116,31.2,32.5,4.44,5.22,1.62,1.78,6.87,7.55,4.25,4.5,25.5,28,4
"68","CHI","S",73.1,202.7,122.56,31.19,4.51,1.58,6.95,4.15,34.87,70.6,75,188,218,115,127,30,32.2,4.43,4.64,1.52,1.65,6.88,7.15,4.03,4.38,32.5,39.5,11
"69","CHI","T",77.6,321.8,108.52,34.09,5.1,1.79,7.76,4.71,29.85,75.9,79,303,353,98,114,33.1,35.4,4.96,5.55,1.65,1.93,7.4,8.1,4.4,4.88,22.5,32.5,10
"70","CHI","TE",78.1,269.9,122.01,33.25,4.74,1.68,7.27,4.4,34.78,77.8,78.5,262,278,121,123,33,33.5,4.7,4.79,1.65,1.71,7.09,7.44,4.38,4.41,32.5,37,2
"71","CHI","WR",73,204.5,121.6,31.93,4.43,1.55,6.93,4.25,35.91,69.9,74.9,175,216,112,133,28.8,33,4.31,4.59,1.46,1.65,6.65,7.38,4.14,4.53,28.5,39.5,11
"72","CIN","C",75.6,306.4,109,32.14,5.18,1.85,8.26,4.66,29,75.1,75.8,305,310,109,109,32,32.5,5.18,5.18,1.85,1.85,8.26,8.26,4.66,4.66,29,29,2
"73","CIN","CB",72,192.3,121.4,31.18,4.44,1.55,6.97,4.23,34.75,69.9,73.6,178,209,114,131,30.2,32.6,4.26,4.63,1.47,1.64,6.57,7.31,4.06,4.4,29.5,39.5,14
"74","CIN","DI",75.6,299.1,107.33,33.57,4.96,1.74,7.66,4.58,29.75,72.6,77,258,350,100,118,33,34.5,4.53,5.4,1.59,1.9,7.22,8.19,4.29,4.97,27.5,32,8
"75","CIN","ED",76.5,269.8,117.93,33.46,4.75,1.66,7.15,4.42,34.48,73.6,80.1,255,307,107,131,31,34.6,4.53,4.99,1.57,1.89,6.84,7.46,4.19,4.57,25.5,41.5,12
"76","CIN","G",76.5,310.4,103.9,33.31,5.27,1.82,7.82,4.7,28.8,75,78.1,298,320,96,116,32.2,34.2,5.07,5.46,1.76,1.89,7.52,8.31,4.51,4.95,25,32.5,10
"77","CIN","HB",70.6,215.4,119.55,30.42,4.55,1.57,7.12,4.3,34.11,68.1,72.8,202,233,113,132,28,32.6,4.43,4.73,1.51,1.65,6.85,7.64,4.04,4.59,29,40.5,11
"78","CIN","LB",73.7,236.9,119.06,32.03,4.62,1.63,7.02,4.3,34.29,71.4,74.9,224,248,109,128,31,33.4,4.4,4.93,1.56,1.71,6.73,7.32,4,4.49,28,42,12
"79","CIN","QB",75.2,218.6,107.46,31.32,4.82,1.75,7.04,4.26,29.63,73,76,213,221,99,116,30.9,32.9,4.73,4.94,1.69,1.77,6.93,7.2,4.15,4.34,28,31.5,5
"80","CIN","S",72.6,205.9,120.89,31.76,4.48,1.56,6.92,4.21,35.34,70,76,196,225,117,133,29.8,34.5,4.36,4.61,1.5,1.61,6.64,7.17,4.03,4.44,33.5,41,9
"81","CIN","T",77.1,306.5,104.24,34.08,5.12,1.79,7.79,4.66,29.84,76.4,79.6,302,317,100,115,32.5,35.9,5.01,5.29,1.77,1.83,7.25,8.08,4.33,4.81,28,34,7
"82","CIN","TE",76.9,251.7,117.35,33.22,4.7,1.64,7.07,4.37,33.73,74.5,77.8,246,262,113,120,32.5,34.8,4.62,4.76,1.58,1.66,6.92,7.36,4.27,4.57,30.5,35.5,6
"83","CIN","WR",73.5,202.3,126.48,32.42,4.44,1.57,6.93,4.21,35.82,68.5,76.9,175,228,107,133,30,34.4,4.22,4.68,1.49,1.66,6.64,7.37,3.98,4.58,29.5,41,16
"84","CLE","C",74.3,303,104.83,32.06,5.12,1.78,7.6,4.52,29.78,72.9,77.5,302,306,103,108,31.6,32.9,5.1,5.14,1.74,1.83,7.52,7.64,4.49,4.53,29,30.5,3
"85","CLE","CB",71.8,191.2,127.07,31.91,4.42,1.53,6.88,4.25,36.42,68.9,75.5,180,202,114,136,29.6,35.2,4.32,4.59,1.47,1.62,6.6,7.07,3.94,4.39,32,40,16
"86","CLE","DI",75.1,310.8,108.45,32.98,5.15,1.79,7.57,4.67,30.5,73.5,77,263,339,95,122,31.5,35.6,4.69,5.64,1.67,1.9,7.14,7.99,4.37,4.99,27,36.5,14
"87","CLE","ED",76.1,262.5,122.89,34.31,4.66,1.62,7.12,4.46,36.01,72.5,78.9,241,277,114,128,31,35.5,4.58,4.84,1.58,1.68,6.84,7.34,4.36,4.65,28.5,41,9
"88","CLE","G",76.9,309.5,108.79,33.63,5.12,1.81,7.61,4.59,29.76,75.4,79.2,302,321,98,114,32.6,34.1,4.96,5.39,1.73,1.87,7.37,7.88,4.44,4.91,26.5,32,7
"89","CLE","HB",69.6,221.9,122.29,30.77,4.51,1.6,7.11,4.28,34.99,68,70.9,189,228,109,128,30,32,4.46,4.66,1.56,2.59,6.88,7.31,4.16,4.51,31,38.5,7
"90","CLE","LB",73.4,233.3,120.31,32.26,4.66,1.61,7.13,4.33,35.71,71.8,75,221,244,110,126,30.5,33,4.58,4.9,1.55,1.67,6.8,7.38,4.15,4.5,31,39,11
"91","CLE","QB",73.5,216.6,109.23,31.27,4.81,1.68,7.11,4.28,30.38,71.8,76.2,203,233,102,121,30.2,33.1,4.56,4.89,1.51,1.72,6.75,7.4,4,4.53,29,32.5,6
"92","CLE","S",71.8,208.6,125.78,30.9,4.51,1.57,7.05,4.25,35.6,70,74.5,195,217,118,130,30.4,32.9,4.44,4.83,1.53,1.69,6.73,7.44,4.14,4.49,32.5,39,8
"93","CLE","T",77.3,318.1,102.74,34.34,5.19,1.85,7.92,4.84,30.58,76.2,80,298,374,89,113,32.6,36.4,4.9,5.38,1.75,1.92,7.86,8.05,4.66,4.94,26.5,34.5,7
"94","CLE","TE",75.9,245.7,123.25,33.6,4.65,1.6,7.03,4.28,36.35,73.1,77.6,231,254,110,133,30.6,35.2,4.53,4.79,1.54,1.66,6.82,7.41,4.03,4.44,30,40,7
"95","CLE","WR",72.7,204,124.99,31.83,4.46,1.55,7.05,4.3,37.14,69.9,75,172,231,116,139,30.2,33.5,4.26,4.68,1.51,1.67,6.8,7.32,4.13,4.57,32,44.5,14
"96","DAL","C",75.6,312.5,97,32.82,5.58,1.91,7.81,4.76,28.5,75.6,75.6,312,314,97,97,32.2,33,5.58,5.58,1.91,1.91,7.81,7.81,4.76,4.76,28.5,28.5,2
"97","DAL","CB",72.1,195.3,127.83,32.08,4.47,1.55,6.97,4.14,36.73,70.2,76.1,183,212,115,147,30.1,34,4.28,4.71,1.44,1.64,6.57,7.28,3.84,4.57,31,44.5,17
"98","DAL","DI",74.8,305,110.35,33.47,5,1.74,7.66,4.61,30.96,72.2,77.1,275,327,95,120,32,34.8,4.79,5.34,1.69,1.81,7.09,8.21,4.38,5.15,27.5,35,11
"99","DAL","ED",75.8,256.8,117.12,33.76,4.76,1.66,7.23,4.4,33.3,74,77.6,223,277,100,125,32.1,34.8,4.46,5.03,1.55,1.78,6.8,7.8,4.23,4.73,27,39.5,14
"100","DAL","G",76.5,303.1,107.34,33.09,5.14,1.78,7.67,4.6,30.17,74.9,77.2,296,311,103,112,32.9,33.9,5.05,5.31,1.72,1.89,7.14,7.83,4.38,4.63,28,34,5
"101","DAL","HB",71.4,217.3,120.6,31.17,4.47,1.57,7.11,4.25,33.97,65,73.4,179,228,116,133,27.8,33.5,4.37,4.63,1.53,1.63,6.82,7.28,4.18,4.37,32.5,41,8
"102","DAL","LB",74.6,243.8,121.73,32.62,4.6,1.61,7.03,4.32,35.71,72,76.2,229,256,110,127,30.9,33.9,4.39,4.97,1.55,1.79,6.88,7.3,4.15,4.53,30,40.5,15
"103","DAL","QB",75.1,222.8,107.76,32.1,4.91,1.69,7.27,4.35,30.23,73.5,76.6,210,226,96,116,31.9,32.2,4.79,5.09,1.66,1.73,7.11,7.5,4.32,4.4,27,32.5,3
"104","DAL","S",71.9,209.6,123.04,31.45,4.56,1.57,6.96,4.14,35.99,71.1,72,197,217,111,128,30.4,33.4,4.52,4.64,1.52,1.65,6.72,7.55,4.07,4.5,32,40.5,6
"105","DAL","T",77.2,312.9,106.82,35.06,5.03,1.72,7.68,4.68,29.45,76,79.6,305,324,95,113,33.4,36.4,4.93,5.19,1.67,1.9,7.47,8,4.56,4.89,27.5,33.5,7
"106","DAL","TE",77.2,252.1,119.81,32.86,4.73,1.64,6.96,4.34,32.8,75.8,78.2,244,273,114,127,31.2,33.6,4.43,4.84,1.57,1.71,6.76,7.28,4.11,4.58,31.5,36,7
"107","DAL","WR",73,200.5,120.97,31.6,4.51,1.58,6.92,4.22,34.67,68.5,75,181,222,111,130,28,34.1,4.42,4.69,1.49,1.67,6.69,7.15,4,4.37,32,37,12
"108","DEN","C",75.2,311,106.82,33.43,5.19,1.79,7.69,4.67,29.24,74.5,76,299,320,95,113,32.8,34.1,4.99,5.34,1.72,1.85,7.33,8.18,4.46,5.12,20.5,32,7
"109","DEN","CB",72,197.7,125.3,31.75,4.44,1.55,6.83,4.14,37.68,69.5,74,182,208,115,134,29.8,32.5,4.36,4.52,1.48,1.61,6.6,7.2,3.94,4.34,33,43.5,13
"110","DEN","DI",75.7,294.6,107.93,33.49,4.98,1.74,7.63,4.6,30.33,74.6,77.1,280,313,96,119,33,34.1,4.85,5.17,1.69,1.83,7.02,7.93,4.07,4.8,24,37.5,9
"111","DEN","ED",75.5,257.7,120.93,33.51,4.62,1.63,7.16,4.32,35.41,74,78.1,246,316,106,126,31.4,35.1,4.42,5.32,1.53,1.85,6.7,7.7,4.06,4.75,28.5,37,11
"112","DEN","G",77.1,310.3,104.54,33.77,5.17,1.83,7.88,4.59,28.08,74.9,78.5,301,316,93,110,31,35,5.01,5.32,1.73,1.9,7.5,8.37,4.52,4.86,24,33,6
"113","DEN","HB",70.1,214.1,119.77,31.22,4.54,1.6,6.97,4.25,34.61,67.5,72.1,200,229,114,123,29,32.6,4.42,4.66,1.53,1.62,6.88,7.55,4.09,4.57,30.5,37,7
"114","DEN","LB",74,237.6,116.78,32.49,4.69,1.64,6.99,4.32,34.28,72.2,76,230,245,107,130,31.1,33.5,4.51,4.84,1.56,1.71,6.7,7.37,4,4.7,29,40,10
"115","DEN","QB",77.5,237.3,115.33,33.54,4.8,1.65,7.09,4.2,33.77,73.5,78.9,220,244,112,118,32,34.2,4.69,4.86,1.61,1.69,7.03,7.14,4.12,4.26,31,36,6
"116","DEN","S",73,204.1,121.04,31.45,4.56,1.62,6.94,4.06,36.6,71.6,76,202,210,113,132,30.1,34.5,4.41,4.63,1.5,1.66,6.58,7.22,3.85,4.45,31.5,42,8
"117","DEN","T",77.2,302.7,106.99,33.67,5.09,1.76,7.42,4.56,28.61,76.2,77.9,297,311,97,115,33,34,4.95,5.36,1.71,1.85,7.29,7.71,4.55,4.58,28,30.5,3
"118","DEN","TE",76.6,249,122.77,33.24,4.6,1.59,6.9,4.29,37.11,75.4,77.5,243,258,111,130,32,34.1,4.49,4.81,1.55,1.64,6.81,7.05,4.22,4.4,34,42.5,8
"119","DEN","WR",72.1,197,123.81,31.66,4.46,1.56,6.93,4.35,36.3,67.5,75.4,173,218,118,131,28.4,33.5,4.38,4.54,1.52,1.63,6.57,7.25,4.15,4.53,33,39.5,14
"120","DET","C",77.1,312,108.28,33.12,5.09,1.78,7.94,4.56,30.98,77,77.1,312,312,95,115,33.1,33.1,4.99,5.28,1.74,1.87,7.73,8.04,4.51,4.65,26,33.5,2
"121","DET","CB",72.4,199.3,127.33,32.16,4.48,1.58,7,4.22,37.88,69.1,73.6,190,205,113,135,29.6,32.6,4.36,4.62,1.48,1.65,6.82,7.26,4.07,4.4,31,43,11
"122","DET","DI",75.1,302.1,107.89,33.86,4.98,1.74,7.62,4.66,28.86,73.1,76.8,280,330,94,115,32.6,35,4.83,5.34,1.68,1.89,7.14,8.16,4.39,4.97,24.5,32.5,12
"123","DET","ED",76.9,262.5,118.85,33.77,4.73,1.62,6.92,4.27,35.57,72.2,79,240,277,109,128,31.1,36,4.58,4.84,1.56,1.7,6.73,7.63,4.15,4.58,30.5,39,12
"124","DET","G",76.1,316.2,102.64,33.36,5.3,1.85,7.88,4.88,27.26,75,78,304,332,96,112,32.5,33.6,5.13,5.58,1.77,1.91,7.63,8.17,4.63,5.1,22.5,31.5,7
